Employee Code,AttendanceDate,InTime, OutTime
1,5/22/2017,17:10,17:10
2,5/22/2017,10:08,17:11
3,5/22/2017,11:34,03:00
4,5/22/2017,00:00,00:00
5,5/22/2017,09:34,18:49
6,5/22/2017,09:33,17:15
8,5/22/2017,09:34,18:49
13,5/22/2017,19:02,19:02
14,5/22/2017,12:59,21:38
15,5/22/2017,00:00,00:00
18,5/22/2017,09:43,17:43
21,5/22/2017,09:34,09:34
22,5/22/2017,10:00,18:40
24,5/22/2017,09:29,17:43
26,5/22/2017,00:00,00:00
29,5/22/2017,00:00,00:00
30,5/22/2017,00:00,00:00
31,5/22/2017,00:00,00:00
32,5/22/2017,00:00,00:00
36,5/22/2017,11:34,11:34
37,5/22/2017,18:43,18:43
38,5/22/2017,00:00,00:00
39,5/22/2017,09:27,18:33
40,5/22/2017,03:35,18:34
42,5/22/2017,00:00,00:00
43,5/22/2017,09:17,18:39
44,5/22/2017,10:16,18:34
45,5/22/2017,00:00,00:00
46,5/22/2017,09:48,09:48
47,5/22/2017,09:06,19:20
48,5/22/2017,09:18,19:20
49,5/22/2017,09:27,09:27
50,5/22/2017,00:00,00:00
51,5/22/2017,00:00,00:00
52,5/22/2017,18:55,03:30
T1,5/22/2017,00:00,00:00
T2,5/22/2017,00:00,00:00
T3,5/22/2017,00:00,00:00
1,5/21/2017,00:00,00:00
2,5/21/2017,00:00,00:00
3,5/21/2017,00:00,00:00
4,5/21/2017,10:58,19:31
5,5/21/2017,00:00,00:00
6,5/21/2017,00:00,00:00
8,5/21/2017,00:00,00:00
13,5/21/2017,00:00,00:00
14,5/21/2017,13:01,21:32
15,5/21/2017,00:00,00:00
18,5/21/2017,09:38,17:40
21,5/21/2017,09:31,18:12
22,5/21/2017,00:00,00:00
24,5/21/2017,00:00,00:00
26,5/21/2017,09:17,17:27
29,5/21/2017,19:02,03:54
30,5/21/2017,00:00,00:00
31,5/21/2017,00:00,00:00
32,5/21/2017,00:00,00:00
36,5/21/2017,11:37,21:20
37,5/21/2017,00:00,00:00
38,5/21/2017,00:00,00:00
39,5/21/2017,09:17,17:27
40,5/21/2017,03:37,18:48
42,5/21/2017,00:00,00:00
43,5/21/2017,00:00,00:00
44,5/21/2017,00:00,00:00
45,5/21/2017,00:00,00:00
46,5/21/2017,00:00,00:00
47,5/21/2017,00:00,00:00
48,5/21/2017,00:00,00:00
49,5/21/2017,00:00,00:00
50,5/21/2017,00:00,00:00
51,5/21/2017,09:34,17:25
52,5/21/2017,00:00,00:00
T1,5/21/2017,00:00,00:00
T2,5/21/2017,00:00,00:00
T3,5/21/2017,00:00,00:00
1,5/20/2017,00:00,00:00
2,5/20/2017,10:07,18:58
3,5/20/2017,00:00,00:00
4,5/20/2017,19:31,19:31
5,5/20/2017,09:52,18:38
6,5/20/2017,00:00,00:00
8,5/20/2017,00:00,00:00
13,5/20/2017,00:00,00:00
14,5/20/2017,13:00,21:34
15,5/20/2017,00:00,00:00
18,5/20/2017,00:00,00:00
21,5/20/2017,00:00,00:00
22,5/20/2017,10:29,18:38
24,5/20/2017,00:00,00:00
26,5/20/2017,00:00,00:00
29,5/20/2017,19:03,04:49
30,5/20/2017,00:00,00:00
31,5/20/2017,00:00,00:00
32,5/20/2017,00:00,00:00
36,5/20/2017,10:34,21:14
37,5/20/2017,00:00,00:00
